"code";"Weights";"Predictors";"Ensamble";"Probability";"upper";"lower";"Age_group";"Gender";"num_pats.";"prevalence";"Pred_Ens_Weights";"pathString"
"N02BE01";"1";"O_M_N02BE01";0,31056134192007;0,389168207155275;0,399012249337814;0,379413704329907;"All";"Both";870466;0,16;"O_M_N02BE01, 0.31, 10.39,0.16";"AllWaves|All|Both|O_M_N02BE01, 0.31, 10.39,0.16"
"N02BE01";"1";"S_M_N02BE01";0,310591138326704;0,181059685783686;0,212667175413857;0,153235550973365;"[65, 75)";"M";870466;0,16;"S_M_N02BE01, 0.31, 10.18,0.16";"AllWaves|[65, 75)|M|S_M_N02BE01, 0.31, 10.18,0.16"
"N02BE01";"1";"O_M_N02BE01";0,298259328299314;0,439698737618626;0,509286098250263;0,372403787645793;"[0, 18)";"F";870466;0,16;"O_M_N02BE01, 0.3, 10.44,0.16";"AllWaves|[0, 18)|F|O_M_N02BE01, 0.3, 10.44,0.16"
"N05CF01";"1";"O_M_N05CF01";0,288381627355144;0,189500682587176;0,228691674056431;0,15567036661032;"[75,102)";"F";371537;0,07;"O_M_N05CF01, 0.29, 10.19,0.07";"AllWaves|[75,102)|F|O_M_N05CF01, 0.29, 10.19,0.07"
"R03AC02";"1";"O_M_R03AC02";0,316055937356268;0,330670505607715;0,361742821987512;0,301008458165867;"[75,102)";"M";423982;0,08;"O_M_R03AC02, 0.32, 10.33,0.08";"AllWaves|[75,102)|M|O_M_R03AC02, 0.32, 10.33,0.08"
"R03AC02";"1";"O_M_R03AC02";0,299020391340197;0,439797556233477;0,509420212913274;0,372465854189494;"[0, 18)";"F";423982;0,08;"O_M_R03AC02, 0.3, 10.44,0.08";"AllWaves|[0, 18)|F|O_M_R03AC02, 0.3, 10.44,0.08"
"R03AC02";"2";"O_M_R03AC02";0,317599240461618;0,19083032073269;0,230414116456156;0,156662478217018;"[75,102)";"F";423982;0,08;"O_M_R03AC02, 0.32, 20.19,0.08";"AllWaves|[75,102)|F|O_M_R03AC02, 0.32, 20.19,0.08"
"R03AC02";"1";"O_M_R03AC02";0,350601663102848;0,339281915565676;0,384609708372508;0,296720422669413;"[65, 75)";"F";423982;0,08;"O_M_R03AC02, 0.35, 10.34,0.08";"AllWaves|[65, 75)|F|O_M_R03AC02, 0.35, 10.34,0.08"
"R05DA01";"1";"O_M_R05DA01";0,307346752824021;0,408048916699896;0,429784406449186;0,386667260949109;"[18, 65)";"F";501527;0,09;"O_M_R05DA01, 0.31, 10.41,0.09";"AllWaves|[18, 65)|F|O_M_R05DA01, 0.31, 10.41,0.09"
"R05DA01";"1";"O_M_R05DA01";0,308997765771012;0,382586276826362;0,400401172256083;0,365081398436019;"[18, 65)";"M";501527;0,09;"O_M_R05DA01, 0.31, 10.38,0.09";"AllWaves|[18, 65)|M|O_M_R05DA01, 0.31, 10.38,0.09"
"R06AE07";"1";"O_M_R06AE07";0,287359646710264;0,189454302927866;0,228631590326492;0,155635757228403;"[75,102)";"F";406310;0,07;"O_M_R06AE07, 0.29, 10.19,0.07";"AllWaves|[75,102)|F|O_M_R06AE07, 0.29, 10.19,0.07"
